qzGroup,pass_video,fileUrl,emotion_fear,emotion_aversion,emotion_happy,emotion_sadness,emotion_angry,emotion_neutral,face_angle,shoulder_angle,left_shoulder,left_shoulder_move_count,right_shoulder,right_shoulder_move_count,center_shoulder,center_shoulder_left_move_count,center_shoulder_right_move_count,left_hand_time,left_hand_move_count,right_hand_time,right_hand_move_count,gaze_x_score,gaze_y_score,shoulder_vertical_score,shoulder_horizon_score,face_angle_score,gesture_score
5038,x,https://withmind.cache.smilecdn.com/vod/1595393752806_1_1382.mp4,0,0,0,0,0,0,0,0,"{""low_spot"": {""x"": 0, ""y"": 0}, ""high_spot"": {""x"": 0, ""y"": 0}}",0,"{""low_spot"": {""x"": 0, ""y"": 0}, ""high_spot"": {""x"": 0, ""y"": 0}}",0,"{""left_spot"": {""x"": 0, ""y"": 0}, ""right_spot"": {""x"": 0, ""y"": 0}}",0,0,0,0,0,0,100,100,100,100,100,100
5038,x,https://withmind.cache.smilecdn.com/vod/1595393856048_2_1382.mp4,0,0,0,0,0,0,0,0,"{""low_spot"": {""x"": 0, ""y"": 0}, ""high_spot"": {""x"": 0, ""y"": 0}}",0,"{""low_spot"": {""x"": 0, ""y"": 0}, ""high_spot"": {""x"": 0, ""y"": 0}}",0,"{""left_spot"": {""x"": 0, ""y"": 0}, ""right_spot"": {""x"": 0, ""y"": 0}}",0,0,0,0,0,0,100,100,100,100,100,100
5038,x,https://withmind.cache.smilecdn.com/vod/1595393752806_1_1382.mp4,0,0,0,0,0,0,0,0,"{""low_spot"": {""x"": 0, ""y"": 0}, ""high_spot"": {""x"": 0, ""y"": 0}}",0,"{""low_spot"": {""x"": 0, ""y"": 0}, ""high_spot"": {""x"": 0, ""y"": 0}}",0,"{""left_spot"": {""x"": 0, ""y"": 0}, ""right_spot"": {""x"": 0, ""y"": 0}}",0,0,0,0,0,0,100,100,100,100,100,100
5038,x,https://withmind.cache.smilecdn.com/vod/1595393856048_2_1382.mp4,0,0,0,0,0,0,0,0,"{""low_spot"": {""x"": 0, ""y"": 0}, ""high_spot"": {""x"": 0, ""y"": 0}}",0,"{""low_spot"": {""x"": 0, ""y"": 0}, ""high_spot"": {""x"": 0, ""y"": 0}}",0,"{""left_spot"": {""x"": 0, ""y"": 0}, ""right_spot"": {""x"": 0, ""y"": 0}}",0,0,0,0,0,0,100,100,100,100,100,100
5038,x,https://withmind.cache.smilecdn.com/vod/1595393962568_3_1382.mp4,0,0,0,0,0,0,0,0,"{""low_spot"": {""x"": 0, ""y"": 0}, ""high_spot"": {""x"": 0, ""y"": 0}}",0,"{""low_spot"": {""x"": 0, ""y"": 0}, ""high_spot"": {""x"": 0, ""y"": 0}}",0,"{""left_spot"": {""x"": 0, ""y"": 0}, ""right_spot"": {""x"": 0, ""y"": 0}}",0,0,0,0,0,0,100,100,100,100,100,100
5040,o,https://withmind.cache.smilecdn.com/vod/1573705276737_1_633.mp4,0.40511,16.81315,44.79517,19.27421,0.00018,16.94729,-0.76748,0.00862,"{""low_spot"": {""x"": 106, ""y"": 465}, ""high_spot"": {""x"": 125, ""y"": 435}}",1,"{""low_spot"": {""x"": 362, ""y"": 465}, ""high_spot"": {""x"": 349, ""y"": 448}}",1,"{""left_spot"": {""x"": 226, ""y"": 461}, ""right_spot"": {""x"": 252, ""y"": 444}}",0,1,0,0,0,0,60,80,100,60,100,100
5040,o,https://withmind.cache.smilecdn.com/vod/1573705392741_2_633.mp4,0.30545,22.235,39.93943,7.6644,0.00014,25.88786,-0.15124,-0.01339,"{""low_spot"": {""x"": 100, ""y"": 481}, ""high_spot"": {""x"": 98, ""y"": 451}}",2,"{""low_spot"": {""x"": 369, ""y"": 476}, ""high_spot"": {""x"": 364, ""y"": 466}}",2,"{""left_spot"": {""x"": 230, ""y"": 471}, ""right_spot"": {""x"": 235, ""y"": 474}}",0,0,0,0,0,0,100,100,100,100,100,100
5040,o,https://withmind.cache.smilecdn.com/vod/1573705502803_3_633.mp4,0.08301,31.55612,23.77334,10.44459,3.00E-05,30.85474,-0.02834,-0.00063,"{""low_spot"": {""x"": 100, ""y"": 477}, ""high_spot"": {""x"": 102, ""y"": 462}}",0,"{""low_spot"": {""x"": 369, ""y"": 477}, ""high_spot"": {""x"": 361, ""y"": 468}}",0,"{""left_spot"": {""x"": 231, ""y"": 468}, ""right_spot"": {""x"": 236, ""y"": 471}}",0,0,0,0,0,0,100,100,100,100,100,100
5041,o,https://withmind.cache.smilecdn.com/vod/1573709226785_1_643.mp4,1.00E-05,0.00157,10.89783,68.51303,0,20.04986,1.70808,-0.03667,"{""low_spot"": {""x"": 122, ""y"": 464}, ""high_spot"": {""x"": 123, ""y"": 459}}",0,"{""low_spot"": {""x"": 372, ""y"": 456}, ""high_spot"": {""x"": 372, ""y"": 448}}",0,"{""left_spot"": {""x"": 242, ""y"": 457}, ""right_spot"": {""x"": 249, ""y"": 455}}",0,0,0,0,0,0,100,100,100,100,100,100
5041,o,https://withmind.cache.smilecdn.com/vod/1573709340861_2_643.mp4,2.00E-05,0.00553,24.60281,58.2905,0,17.08958,2.0266,-0.03393,"{""low_spot"": {""x"": 118, ""y"": 466}, ""high_spot"": {""x"": 125, ""y"": 459}}",0,"{""low_spot"": {""x"": 368, ""y"": 457}, ""high_spot"": {""x"": 369, ""y"": 452}}",0,"{""left_spot"": {""x"": 243, ""y"": 461}, ""right_spot"": {""x"": 250, ""y"": 460}}",0,0,0,0,0,0,100,80,100,100,80,100
