,qzGroup,Key_word,E,I,T,F,MBTI_result
0,0000,"['구체적', '체계적', '열성적', '경험적', '논리적', '현실적', '개방성', '능동적']",0,0,0,0,ET
1,5038,"['정서적', '구체적', '경험적', '계획적', '표현적', '허용적', '체계적', '능동적']",2,0,0,2,EF
2,5038,"['정서적', '구체적', '경험적', '계획적', '표현적', '허용적', '체계적', '능동적']",2,0,0,2,EF
3,5038,"['정서적', '구체적', '경험적', '계획적', '표현적', '허용적', '체계적', '능동적']",2,0,0,2,EF
4,5038,"['정서적', '구체적', '경험적', '계획적', '표현적', '허용적', '체계적', '능동적']",2,0,0,2,EF
5,5038,"['정서적', '구체적', '경험적', '계획적', '표현적', '허용적', '체계적', '능동적']",2,0,0,2,EF
6,5040,"['정서적', '구체적', '계획적', '표현적', '경험적', '허용적', '체계적', '목표지향성']",1,0,0,2,EF
7,5040,"['정서적', '구체적', '계획적', '표현적', '경험적', '허용적', '체계적', '목표지향성']",1,0,0,2,EF
8,5040,"['정서적', '구체적', '계획적', '표현적', '경험적', '허용적', '체계적', '목표지향성']",1,0,0,2,EF
9,5041,"['정서적', '구체적', '계획적', '표현적', '경험적', '허용적', '체계적', '목표지향성']",1,0,0,2,EF
10,5041,"['정서적', '구체적', '계획적', '표현적', '경험적', '허용적', '체계적', '목표지향성']",1,0,0,2,EF
11,5041,"['정서적', '구체적', '계획적', '표현적', '경험적', '허용적', '체계적', '목표지향성']",1,0,0,2,EF
12,5042,"['정서적', '구체적', '계획적', '표현적', '경험적', '허용적', '체계적', '목표지향성']",1,0,0,2,EF
13,5042,"['정서적', '구체적', '계획적', '표현적', '경험적', '허용적', '체계적', '목표지향성']",1,0,0,2,EF
14,5042,"['정서적', '구체적', '계획적', '표현적', '경험적', '허용적', '체계적', '목표지향성']",1,0,0,2,EF
15,5043,"['능동적', '이성적', '보유적', '열성적', '추상적', '목표지향성', '자발성', '경험적']",2,1,1,0,ET
16,5043,"['능동적', '이성적', '보유적', '열성적', '추상적', '목표지향성', '자발성', '경험적']",2,1,1,0,ET
17,5043,"['능동적', '이성적', '보유적', '열성적', '추상적', '목표지향성', '자발성', '경험적']",2,1,1,0,ET
18,5044,"['감성적', '행동안정성', '정적', '정서적', '허용적', '현실적', '경험적', '구체적']",0,1,0,3,IF
19,5044,"['감성적', '행동안정성', '정적', '정서적', '허용적', '현실적', '경험적', '구체적']",0,1,0,3,IF
20,5044,"['감성적', '행동안정성', '정적', '정서적', '허용적', '현실적', '경험적', '구체적']",0,1,0,3,IF
21,5046,"['구체적', '이성적', '계획적', '체계적', '목표지향성', '현실적', '논리적', '표현적']",1,0,2,0,ET
22,5046,"['구체적', '이성적', '계획적', '체계적', '목표지향성', '현실적', '논리적', '표현적']",1,0,2,0,ET
23,5046,"['구체적', '이성적', '계획적', '체계적', '목표지향성', '현실적', '논리적', '표현적']",1,0,2,0,ET
24,5047,"['능동적', '유연성', '경험적', '자발성', '창의적', '추상적', '개방성', '열성적']",2,0,0,0,err
25,5047,"['능동적', '유연성', '경험적', '자발성', '창의적', '추상적', '개방성', '열성적']",2,0,0,0,err
26,5047,"['능동적', '유연성', '경험적', '자발성', '창의적', '추상적', '개방성', '열성적']",2,0,0,0,err
27,5051,"['능동적', '열성적', '논리적', '현실적', '유연성', '목표지향성', '표현적', '구체적']",3,0,1,0,ET
28,5051,"['능동적', '열성적', '논리적', '현실적', '유연성', '목표지향성', '표현적', '구체적']",3,0,1,0,ET
29,5051,"['능동적', '열성적', '논리적', '현실적', '유연성', '목표지향성', '표현적', '구체적']",3,0,1,0,ET
30,5052,"['유연성', '표현적', '창의적', '감성적', '허용적', '추상적', '열성적', '이상적']",2,0,0,2,EF
31,5052,"['유연성', '표현적', '창의적', '감성적', '허용적', '추상적', '열성적', '이상적']",2,0,0,2,EF
32,5052,"['유연성', '표현적', '창의적', '감성적', '허용적', '추상적', '열성적', '이상적']",2,0,0,2,EF
33,5053,"['논리적', '체계적', '목표지향성', '계획적', '능동적', '현실적', '열성적', '구체적']",2,0,1,0,ET
34,5053,"['논리적', '체계적', '목표지향성', '계획적', '능동적', '현실적', '열성적', '구체적']",2,0,1,0,ET
35,5053,"['논리적', '체계적', '목표지향성', '계획적', '능동적', '현실적', '열성적', '구체적']",2,0,1,0,ET
36,5054,"['현실적', '논리적', '체계적', '이성적', '구체적', '목표지향성', '계획적', '능동적']",1,0,2,0,ET
37,5054,"['현실적', '논리적', '체계적', '이성적', '구체적', '목표지향성', '계획적', '능동적']",1,0,2,0,ET
38,5054,"['현실적', '논리적', '체계적', '이성적', '구체적', '목표지향성', '계획적', '능동적']",1,0,2,0,ET
